#{"t_start": 1606563267.147134, "env_id": "BipedalWalker-v3"}
r,l,t
-117.692254,66,8.403867
-115.431846,63,8.641246
-91.783325,119,8.716981
-120.748781,64,10.082227
-134.682291,133,10.174953
-131.554028,114,11.639417
-109.020069,136,11.733185
-120.321176,60,11.777724
-109.010531,59,13.330982
-129.884364,321,15.037391
-113.92998,181,16.659879
-136.665459,329,18.414324
-117.843678,598,22.051384
-111.224851,229,23.810607
-102.681847,98,25.558053
-104.037852,223,25.727886
-98.692389,210,27.890864
-127.213968,93,29.819991
-110.438887,51,29.866603
-110.441958,51,29.90899
-110.458761,51,29.950035
-110.467543,51,29.990787
-107.512615,45,31.689293
-106.868671,52,31.731324
-106.653046,52,31.772863
-106.575394,52,31.813391
-106.752313,53,31.855449
-106.312159,53,33.553644
-107.711897,59,33.606449
-107.952425,58,33.663045
-107.967123,58,33.710987
-107.996068,58,33.755097
-100.153006,76,35.520611
-99.551018,78,35.581285
-99.715759,78,35.641071
-99.649368,77,37.286869
-96.895124,127,37.384403
-100.726093,160,39.20248
-121.937072,95,39.278619
-76.567716,1600,50.991173
-127.233605,115,53.178754
-128.314743,106,53.265543
-99.689229,1600,67.548727
-106.5093,96,67.628134
-106.17005,96,67.715626
-115.070303,120,69.515472
-137.922744,622,73.410865
-121.883283,170,75.248112
-109.121995,78,75.311499
-109.152484,79,75.376164
-117.393001,76,77.128632
-124.874241,98,77.206905
-128.842351,102,79.177798
-99.477834,63,79.231005
-99.897552,63,79.287377
-99.694175,64,79.341684
-101.119975,64,81.134179
-117.712795,276,83.110607
-134.876143,198,83.267275
-128.49222,218,85.198688
-132.289421,603,91.413669
-117.021021,264,93.646675
-126.193124,85,93.722291
-121.67974,82,93.794019
-126.220166,85,95.894613
-135.20476,143,96.017502
-189.51486,916,104.918574
-119.908153,79,104.989471
-124.307466,87,105.063492
-116.250892,66,106.926638
-119.988371,83,106.999584
-122.315699,99,107.086465
-129.524497,109,109.367017
-126.820579,125,109.490994
-122.694794,94,111.646907
-128.253023,148,111.775212
-124.237798,113,114.11299
-116.53323,70,114.189124
-120.630416,80,114.279039
-115.835455,69,116.484841
-111.12133,85,116.576928
-123.984947,97,116.677433
-115.286499,87,118.958665
-118.158259,83,119.034226
-105.387835,127,119.144638
-115.589132,52,121.334611
-115.638234,72,121.42801
-119.077832,81,121.530121
-115.703936,72,121.60436
-117.902889,81,124.01009
-128.115385,146,124.155523
-119.660716,134,126.41467
-112.972046,63,126.481007
-113.953808,64,126.540222
-112.591964,61,128.821712
-114.021498,64,128.89289
-120.60683,102,129.001611
-117.66696,97,131.439115
-107.327563,59,131.508148
-105.965059,63,131.585845
-107.966303,60,131.650372
-102.333922,71,134.026751
-114.551377,71,134.105721
-121.061682,227,136.830686
-113.889432,77,136.917466
-111.212195,84,137.008159
-120.2323,122,139.36507
-113.097446,226,141.796455
-136.292166,135,141.931543
-137.477943,135,144.275707
-105.41785,89,144.36931
-105.217013,88,146.642725
-133.283545,102,146.751517
-135.903828,119,146.867183
-122.297154,175,149.206409
-129.849139,134,151.526304
-129.980745,1600,167.118984
-152.437607,507,172.227295
-124.339528,91,172.326302
-121.611167,76,174.730979
-145.267252,668,180.087375
-141.019916,292,182.704526
-111.76805,125,185.043586
-107.973345,73,185.124575
-107.820708,73,185.199397
-108.599037,81,187.567111
-104.534758,115,187.710609
-108.057588,108,190.130576
-113.916919,170,190.305895
-112.566808,66,190.373148
-111.76788,74,192.67589
-106.866063,68,192.763725
-103.452336,85,192.854549
-109.486174,70,195.198065
-110.606122,79,195.282514
-109.786842,78,195.363309
-110.226762,79,197.726505
-112.785334,85,197.816732
-112.153324,85,197.903675
-111.650925,85,200.169144
-118.573983,178,200.344114
-140.300186,147,202.56117
